"id","district_nut","fullname","shortname","zip","use"
"314","SK0428","Brzotín","Brzotín","049 51","1"
"315","SK0411","Buclovany","Buclovany","086 43","1"
"316","SK0231","Búč","Búč","946 35","1"
"317","SK0217","Bučany","Bučany","919 28","1"
"318","SK0317","Bučina","Bučina","029 57","1"
"319","SK0224","Bučkovec","Bučkovec","916 42","1"
"320","SK0211","Bučuháza","Bučuháza","931 01","1"
"321","SK031B","Budatín","Budatín","010 03","1"
"322","SK0314","Budatínska Lehota","Budatínska Lehota","023 36","1"
"323","SK032B","Budča","Budča","962 33","1"
"324","SK032B","Budička","Budička","962 34","1"
"325","SK0329","Budikovany","Budikovany","980 23","1"
"326","SK0426","Budimír","Budimír","044 43","1"
"327","SK0326","Budiná","Budiná","985 12","1"
"328","SK0427","Budince","Budince","076 77","1"
"329","SK0319","Budiš","Budiš","038 23","1"
"330","SK0427","Budkovce","Budkovce","072 15","1"
"331","SK0107","Budmerice","Budmerice","900 86","1"
"332","SK0426","Budulov","Budulov","045 01","1"
"333","SK0418","Budzín","Budzín","082 71","1"
"334","SK0414","Buglovce","Buglovce","053 04","1"
"335","SK0323","Bujakovo","Bujakovo","977 01","1"
"336","SK0311","Buková","Buková","013 61","1"
"337","SK0217","Buková","Buková","919 10","1"
"338","SK041B","Bukovce","Bukovce","090 22","1"
"339","SK0426","Bukovec","Bukovec","044 20","1"
"340","SK0223","Bukovec","Bukovec","906 14","1"
"341","SK032A","Bukovec","Bukovec","991 02","1"
"342","SK0315","Bukovina","Bukovina","032 23","1"
"343","SK032D","Bukovina","Bukovina","966 01","1"
"344","SK032C","Bukovina","Bukovina","968 01","1"
"345","SK0414","Bukovinka","Bukovinka","053 14","1"
"346","SK0324","Bukovinka","Bukovinka","985 51","1"
"347","SK0326","Bulhary","Bulhary","986 01","1"
"348","SK0417","Bunde","Bunde","082 33","1"
"349","SK0426","Bunetice","Bunetice","044 47","1"
"350","SK0429","Bunkovce","Bunkovce","072 44","1"
"351","SK032A","Bušince","Bušince","991 22","1"
"352","SK0413","Bušovce","Bušovce","059 93","1"
"353","SK0211","Búštelek","Búštelek","930 39","1"
"354","SK0312","Butty","Butty","022 04","1"
"355","SK0426","Buzica","Buzica","044 73","1"
"356","SK0426","Buzice","Buzice","044 13","1"
"357","SK0326","Buzitka","Buzitka","985 41","1"
"358","SK0426","Byster","Byster","044 41","1"
"359","SK041B","Bystrá","Bystrá","090 23","1"
"360","SK0323","Bystrá","Bystrá","977 01","1"
"361","SK042A","Bystrany","Bystrany","053 62","1"
"362","SK041D","Bystré","Bystré","094 34","1"
"363","SK0227","Bystričany","Bystričany","972 45","1"
"364","SK0316","Bystrička","Bystrička","038 04","1"
"365","SK0231","Bystrička","Bystrička","946 38","1"
"366","SK0327","Bystrička","Bystrička","985 24","1"
"367","SK042B","Byšta","Byšta","076 13","1"
"368","SK0311","Bytča","Bytča","014 01","1"
"369","SK031B","Bytčica","Bytčica","010 09","1"
"370","SK032D","Bzenica","Bzenica","966 01","1"
"371","SK0417","Bzenov","Bzenov","082 42","1"
